Device ID,Vehicle Type,Trip Duration,duration_minutes,Trip Distance,Start Time,End Time,month,Hour,day ,Start District,End District,Origin Cell ID,Destination Cell ID,Year,Start Latitude,Start Longitude,End Latitude,End Longitude,status
29b415c7-ac27-4551-b5cd-bccad8895115,bicycle,1560,26,13004,08/24/2018 06:30:00,08/26/2018 07:00:00,8,18,5,9,9,14076,15017,2018,30.265,-97.752,30.256,-97.739,Active
3ccbeb2b-6b23-4d69-8056-b982f22fe697,bicycle,3840,64,7,08/26/2018 05:45:00,12/09/2018 18:30:00,9,17,7,8,8,13446,13446,2018,30.266,-97.763,30.266,-97.763,Active
7438b840-8a7f-4d9c-a4f4-69976440c6d5,bicycle,120,2,64,12/09/2018 18:30:00,08/09/2018 18:30:00,9,18,3,9,9,14078,14078,2018,30.27,-97.754,30.269,-97.754,Active
386402f5-87df-416c-b42d-7d172ffd1058,bicycle,1380,23,903,08/09/2018 18:15:00,08/26/2018 04:15:00,8,18,6,3,3,15493,16122,2018,30.264,-97.731,30.261,-97.723,Active
0e6034ff-a01d-40d7-8272-b98e2854e7c6,bicycle,720,12,2835,08/26/2018 04:00:00,09/17/2018 12:15:00,9,16,7,9,9,15022,14861,2018,30.267,-97.74,30.26,-97.742,Active
df25c0e4-b7b9-4291-a372-8ca657a2aa2c,bicycle,3379,56.32,0,09/17/2018 11:15:00,08/31/2018 02:30:00,8,11,1,9,9,14389,14389,2018,30.26,-97.748,30.26,-97.748,Active
a249412c-2744-41fb-ad26-e6ade42b1007,bicycle,8,0.13,8,08/31/2018 02:30:00,09/15/2018 05:15:00,9,14,5,9,9,15179,15179,2018,30.266,-97.737,30.266,-97.737,Active
d222f985-0426-435e-b8d8-52e9b9be516a,bicycle,900,15,661,09/15/2018 05:00:00,02/09/2018 18:30:00,9,17,6,9,9,14226,14546,2018,30.247,-97.75,30.258,-97.746,Active
27640633-bed5-4792-9ed1-27cb855f89e1,bicycle,5738,95.63,5864,02/09/2018 17:00:00,05/10/2018 15:15:00,10,17,7,9,9,14389,15329,2018,30.261,-97.749,30.248,-97.735,Active
5fa79506-7c9f-4f65-9941-dcfdbde33da1,bicycle,720,12,1262,05/10/2018 15:15:00,12/09/2018 19:00:00,9,15,5,3,3,16270,16272,2018,30.239,-97.72,30.243,-97.719,Active
4cbceb8d-2d47-4e65-8e62-bcfe11ad78b2,bicycle,1547,25.78,0,12/09/2018 18:30:00,10/10/2018 02:15:00,10,18,3,3,3,15646,15646,2018,30.253,-97.728,30.253,-97.728,Active
d54acd02-c1e9-46fe-ae77-6924264f39c7,bicycle,2,0.03,0,10/10/2018 02:15:00,09/27/2018 12:30:00,9,2,3,9,9,14850,14850,2018,30.233,-97.742,30.233,-97.742,Active
7a310f8c-1025-4816-af07-a1115d0a5222,bicycle,534,8.9,264,09/27/2018 12:15:00,08/26/2018 11:30:00,8,12,4,5,5,12657,13602,2018,30.261,-97.775,30.262,-97.759,Active
4cbceb8d-2d47-4e65-8e62-bcfe11ad78b2,bicycle,3919,65.32,28990,08/26/2018 10:15:00,04/10/2018 18:00:00,10,10,7,9,9,14701,14546,2018,30.254,-97.744,30.259,-97.747,Active
f61e3334-6e78-4b60-956a-8e9e029caaca,bicycle,120,2,86,04/10/2018 18:00:00,09/22/2018 02:00:00,9,18,4,5,5,13445,13602,2018,30.262,-97.761,30.262,-97.761,Active
33e11698-0aa4-4df5-972f-9d98e16142de,bicycle,120,2,162,09/22/2018 02:00:00,01/10/2018 05:45:00,10,2,6,9,9,14864,14864,2018,30.266,-97.742,30.266,-97.741,Active
3a3b4e15-8056-4efa-8cb9-e4195851b152,bicycle,300,5,748,01/10/2018 05:45:00,09/14/2018 10:00:00,9,5,1,9,9,14389,14233,2018,30.26,-97.749,30.265,-97.749,Active
