idstation,lat1,lon1
14237,30.273,-97.752
13445,30.264,-97.763
14546,30.258,-97.746
15178,30.264,-97.738
12821,30.276,-97.773
14546,30.26,-97.745
14389,30.261,-97.748
14707,30.267,-97.743
14705,30.263,-97.743
15173,30.252,-97.736
13759,30.26,-97.758
13918,30.264,-97.756
13918,30.264,-97.755
13760,30.263,-97.758
13918,30.264,-97.756
15022,30.267,-97.739
14705,30.264,-97.743
13447,30.266,-97.763
14707,30.267,-97.742
15018,30.258,-97.738
14391,30.265,-97.747
14538,30.239,-97.747
13448,30.269,-97.762
15021,30.264,-97.74
12973,30.264,-97.771
14226,30.248,-97.75
13445,30.264,-97.763
14390,30.263,-97.747
14706,30.265,-97.743
14706,30.265,-97.745
16121,30.26,-97.722
15007,30.233,-97.738
14546,30.259,-97.745
14389,30.26,-97.747
14391,30.265,-97.748
14075,30.263,-97.754
14384,30.248,-97.75
14859,30.254,-97.742
14864,30.266,-97.742
13916,30.259,-97.754
15800,30.245,-97.726
14389,30.261,-97.747
13602,30.262,-97.761
16285,30.274,-97.719
14389,30.26,-97.747
15021,30.264,-97.74
13919,30.267,-97.754
14385,30.251,-97.749
15807,30.262,-97.727
14864,30.266,-97.742
14388,30.258,-97.749
14386,30.254,-97.747
16751,30.259,-97.711
13288,30.265,-97.765
13919,30.267,-97.755
14225,30.245,-97.751
14075,30.262,-97.754
14707,30.267,-97.743
14078,30.27,-97.753
13289,30.265,-97.765
14546,30.258,-97.746
14705,30.263,-97.743
13750,30.24,-97.758
14548,30.264,-97.745
12975,30.269,-97.77
14718,30.295,-97.744
13912,30.249,-97.755
14078,30.27,-97.754
14389,30.26,-97.749
14869,30.279,-97.74
14548,30.264,-97.744
14549,30.266,-97.745
14546,30.259,-97.747
13126,30.253,-97.769
14385,30.251,-97.749
14077,30.267,-97.752
14079,30.272,-97.753
13288,30.264,-97.764
16593,30.259,-97.715
15800,30.245,-97.726
14235,30.268,-97.751
13442,30.255,-97.761
13445,30.263,-97.762
15184,30.278,-97.735
14549,30.266,-97.747
14706,30.265,-97.744
13758,30.258,-97.759
12973,30.264,-97.77
14233,30.264,-97.75
14393,30.269,-97.749
12335,30.245,-97.78
13445,30.263,-97.763
14391,30.265,-97.747
12657,30.261,-97.774
14075,30.263,-97.754
15022,30.267,-97.739
14389,30.26,-97.749
15030,30.286,-97.739
13762,30.267,-97.759
13134,30.272,-97.768
16446,30.284,-97.717
14235,30.269,-97.75
14716,30.288,-97.743
14235,30.269,-97.75
14863,30.264,-97.741
14863,30.264,-97.741
14391,30.264,-97.747
13288,30.264,-97.766
12499,30.26,-97.776
14225,30.244,-97.751
12967,30.25,-97.769
15179,30.267,-97.736
13439,30.248,-97.762
13588,30.229,-97.759
12973,30.264,-97.77
15172,30.25,-97.737
15964,30.261,-97.725
15021,30.264,-97.738
14391,30.265,-97.747
14389,30.261,-97.749
16751,30.259,-97.711
13446,30.264,-97.761
14713,30.282,-97.742
15650,30.263,-97.728
14549,30.266,-97.745
14548,30.263,-97.745
13603,30.265,-97.761
14235,30.27,-97.75
13751,30.241,-97.756
15336,30.266,-97.735
14232,30.263,-97.75
13760,30.263,-97.759
13442,30.256,-97.762
13923,30.276,-97.755
15965,30.263,-97.725
14549,30.267,-97.745
14717,30.292,-97.745
14701,30.254,-97.744
13289,30.266,-97.765
15807,30.262,-97.726
14390,30.264,-97.747
15019,30.26,-97.739
16285,30.274,-97.72
15019,30.26,-97.739
14227,30.25,-97.75
14716,30.29,-97.744
15022,30.267,-97.739
13605,30.269,-97.759
14393,30.271,-97.749
15021,30.266,-97.74
15018,30.259,-97.738
13763,30.27,-97.757
15020,30.263,-97.739
15019,30.26,-97.739
14714,30.284,-97.744
15649,30.262,-97.73
15329,30.249,-97.735
15178,30.264,-97.737
15023,30.269,-97.739
14076,30.265,-97.753
15329,30.248,-97.734
15057,30.35,-97.739
14385,30.251,-97.749
14868,30.277,-97.74
14705,30.264,-97.744
14391,30.266,-97.749
14074,30.259,-97.753
14230,30.258,-97.751
14865,30.269,-97.741
13918,30.265,-97.755
14078,30.27,-97.754
14705,30.263,-97.745
14078,30.27,-97.752
14705,30.262,-97.744
15017,30.256,-97.739
15021,30.264,-97.74
14705,30.262,-97.743
14395,30.276,-97.749
13130,30.262,-97.768
14709,30.273,-97.743
14705,30.264,-97.744
12180,30.251,-97.783
15186,30.283,-97.738
14706,30.265,-97.744
13920,30.268,-97.756
13603,30.264,-97.76
15951,30.231,-97.725
14706,30.265,-97.744
14235,30.269,-97.751
14865,30.268,-97.741
15493,30.263,-97.731
15185,30.281,-97.737
14871,30.284,-97.742
14707,30.268,-97.743
14706,30.265,-97.743
13602,30.262,-97.761
15800,30.245,-97.726
14060,30.228,-97.753
13130,30.263,-97.768
13444,30.261,-97.763
14080,30.276,-97.752
15335,30.262,-97.733
14865,30.269,-97.742
14866,30.271,-97.741
13762,30.268,-97.757
14549,30.267,-97.746
14706,30.265,-97.743
15652,30.267,-97.729
15180,30.269,-97.737
