duration,Trip Distance,datetime,month,hour,checkout_kiosk_id
440,1159,12/07/2018 21:15:00,7,21,16911
709,1738,12/07/2018 21:15:00,7,21,14401
1486,3895,12/07/2018 21:15:00,7,21,13912
4108,1094,12/07/2018 21:30:00,7,21,15021
1096,2253,12/07/2018 21:30:00,7,21,15177
413,1304,12/07/2018 21:45:00,7,21,14558
2700,1169,12/10/2018 14:15:00,10,14,13759
639,2301,12/07/2018 21:45:00,7,21,15018
1464,3573,12/07/2018 21:45:00,7,21,15810
867,3106,12/07/2018 22:00:00,7,22,14865
1462,3009,12/07/2018 22:00:00,7,22,14393
1380,111,01/09/2018 15:00:00,9,15,14861
1080,5025,08/22/2018 02:15:00,8,14,14389
2260,6663,12/07/2018 22:00:00,7,22,15334
183,483,12/07/2018 22:15:00,7,22,14875
1182,3387,07/10/2018 12:15:00,10,12,16272
440,1786,12/07/2018 22:15:00,7,22,15660
1485,12,01/10/2018 22:45:00,10,22,13283
1517,4265,12/07/2018 22:30:00,7,22,15347
1489,6051,12/07/2018 22:30:00,7,22,16289
387,1062,12/07/2018 22:45:00,7,22,15493
613,2092,12/07/2018 22:45:00,7,22,15188
689,3637,12/07/2018 22:45:00,7,22,16146
1493,0,07/09/2018 15:00:00,9,15,14706
290,772,12/07/2018 23:15:00,7,23,14235
544,2398,12/07/2018 23:30:00,7,23,14225
4667,2977,12/07/2018 23:30:00,7,23,14546
728,2446,12/07/2018 23:45:00,7,23,15019
488,901,12/07/2018 23:45:00,7,23,14549
202,338,07/13/2018 12:00:00,7,0,15022
1265,3380,07/13/2018 12:45:00,7,0,14077
288,1336,07/13/2018 01:30:00,7,1,14707
300,923,08/25/2018 09:15:00,8,21,15493
689,2768,07/13/2018 02:30:00,7,2,15019
719,3122,07/13/2018 04:45:00,7,4,15177
835,3219,07/13/2018 07:15:00,7,7,14392
771,3154,07/13/2018 07:30:00,7,7,14392
543,2720,07/13/2018 08:00:00,7,8,15965
795,2977,07/13/2018 08:00:00,7,8,14401
1405,4490,07/13/2018 08:15:00,7,8,17075
1000,10,10/13/2018 01:15:00,10,13,15019
1116,1,01/10/2018 14:00:00,10,14,14551
1900,8755,07/13/2018 08:30:00,7,8,14066
493,2140,07/13/2018 08:30:00,7,8,14719
1163,5037,07/13/2018 08:45:00,7,8,13766
1500,1204,01/09/2018 12:45:00,9,12,14386
358,1851,07/13/2018 08:45:00,7,8,15807
553,2366,07/13/2018 08:45:00,7,8,15810
344,1368,07/13/2018 08:45:00,7,8,15495
793,2961,07/13/2018 09:00:00,7,9,14714
1391,3573,07/13/2018 09:15:00,7,9,13767
913,4104,07/13/2018 09:15:00,7,9,14718
610,2736,07/13/2018 09:30:00,7,9,16285
366,1191,07/13/2018 09:30:00,7,9,13920
1746,7693,07/13/2018 10:00:00,7,10,14224
410,1674,07/13/2018 10:15:00,7,10,14386
466,1867,07/13/2018 10:45:00,7,10,15334
24247,5069,07/13/2018 11:00:00,7,11,15021
4665,5,09/30/2018 02:30:00,9,14,15180
326,1867,07/13/2018 11:30:00,7,11,16434
1580,3299,07/13/2018 11:30:00,7,11,14701
35,3,10/13/2018 05:30:00,10,17,14710
955,2140,07/13/2018 11:30:00,7,11,14706
1380,3331,12/10/2018 16:30:00,10,16,14548
6892,23160,06/10/2018 10:30:00,10,10,13602
364,1690,07/13/2018 12:15:00,7,12,14712
1440,346,02/09/2018 15:00:00,9,15,16115
1336,4377,07/13/2018 01:30:00,7,13,15662
1240,2229,01/09/2018 03:15:00,9,3,15017
488,1722,07/13/2018 01:45:00,7,13,14243
650,2350,07/13/2018 01:45:00,7,13,14706
462,1851,07/13/2018 01:45:00,7,13,14548
1020,2407,08/25/2018 02:45:00,8,2,14706
9786,18572,07/13/2018 02:00:00,7,14,14877
240,558,09/19/2018 02:15:00,9,14,15329
1800,9447,07/13/2018 02:15:00,7,14,15962
1442,3685,07/13/2018 02:15:00,7,14,14706
1461,415,09/19/2018 12:30:00,9,12,14389
615,1835,07/13/2018 02:30:00,7,14,16132
824,2849,07/13/2018 02:45:00,7,14,14241
360,0,09/26/2018 08:00:00,9,20,13918
401,1658,07/13/2018 03:00:00,7,15,14558
234,248,10/14/2018 07:00:00,10,7,14389
417,676,07/13/2018 03:00:00,7,15,15180
600,1694,08/10/2018 11:30:00,10,11,14707
932,3943,07/13/2018 03:00:00,7,15,15329
826,530,06/10/2018 00:00:00,10,0,14549
1401,4748,07/13/2018 03:15:00,7,15,16907
2065,3186,07/13/2018 03:30:00,7,15,14546
249,933,07/13/2018 04:00:00,7,16,15021
610,1996,07/13/2018 04:45:00,7,16,15807
885,3927,07/13/2018 04:45:00,7,16,14066
1807,188,07/10/2018 14:30:00,10,14,14389
1084,2398,07/13/2018 04:45:00,7,16,12973
500,1320,07/13/2018 05:00:00,7,17,14707
1720,7226,07/13/2018 05:00:00,7,17,14558
547,1191,07/13/2018 05:00:00,7,17,15022
753,1432,07/13/2018 05:15:00,7,17,15029
504,1674,07/13/2018 05:15:00,7,17,14078
538,1996,07/13/2018 05:15:00,7,17,15493
1,0,09/18/2018 01:30:00,9,13,13131
740,3299,07/13/2018 05:15:00,7,17,14391
1194,6051,07/13/2018 05:15:00,7,17,16119
2576,4152,07/13/2018 05:30:00,7,17,15021
