Vehicle Type,Trip Duration,duration,Trip Distance,datetime,End Time,month,hour,day ,Start District,End District,checkout_kiosk_id,checkin_kiosk_id,year,lat,lon,lat1,lon1,status
bicycle,4920,82,1547,09-03-2018 11:30,09-03-2018 12:45,9,11,1,9,9,14389,14389,2018,30.26,-97.749,30.261,-97.749,Active
bicycle,420,7,46,09/25/2018 06:15:00,09/25/2018 06:15:00,9,18,2,9,9,14077,14234,2018,30.267,-97.752,30.266,-97.752,Active
bicycle,540,9,1097,09-08-2018 15:30,09-08-2018 15:30,9,15,6,9,9,14707,14234,2018,30.267,-97.742,30.265,-97.751,Active
bicycle,30,0.5,33,09/23/2018 09:00:00,09/23/2018 09:00:00,9,21,7,9,9,15021,15021,2018,30.266,-97.739,30.266,-97.739,Active
bicycle,38,0.63,8,09/24/2018 09:00:00,09/24/2018 09:00:00,9,21,1,9,9,14863,14863,2018,30.265,-97.741,30.265,-97.741,Active
bicycle,2396,39.93,278,10/25/2018 05:45:00,10/25/2018 06:15:00,10,17,4,9,9,14548,14705,2018,30.264,-97.745,30.263,-97.743,Active
bicycle,720,12,2669,09-02-2018 15:00,09-02-2018 15:00,9,15,7,9,9,14861,13606,2018,30.26,-97.741,30.27,-97.76,Active
bicycle,1830,30.5,66,09/22/2018 02:15:00,09/22/2018 02:45:00,9,14,6,5,9,12814,14076,2018,30.261,-97.772,30.265,-97.752,Active
bicycle,60,1,0,09-09-2018 22:30,09-09-2018 22:30,9,22,7,9,9,14864,14864,2018,30.266,-97.74,30.266,-97.74,Active
bicycle,22,0.37,5,10-06-2018 15:30,10-06-2018 15:30,10,15,6,9,9,15179,15179,2018,30.266,-97.736,30.266,-97.736,Active
bicycle,3090,51.5,3660,09/29/2018 02:00:00,09/29/2018 02:45:00,9,14,6,9,8,14391,12661,2018,30.265,-97.748,30.27,-97.773,Active
bicycle,556,9.27,1111,09/20/2018 08:00:00,09/20/2018 08:15:00,9,8,4,9,3,14546,15649,2018,30.259,-97.746,30.261,-97.729,Active
bicycle,840,14,334,10-02-2018 17:15,10-02-2018 17:30,10,17,2,8,8,12973,12816,2018,30.264,-97.771,30.265,-97.771,Active
bicycle,600,10,1,09-10-2018 17:15,09-10-2018 17:30,9,17,1,9,9,14706,14706,2018,30.265,-97.744,30.265,-97.744,Active
bicycle,2143,35.72,6909,10-10-2018 18:15,10-10-2018 18:45,10,18,3,9,9,14389,14075,2018,30.261,-97.749,30.263,-97.754,Active
bicycle,587,9.78,679,10/27/2018 11:45:00,10/27/2018 11:45:00,10,23,6,9,9,14234,14075,2018,30.266,-97.752,30.263,-97.754,Active
bicycle,300,5,1019,10-11-2018 22:15,10-11-2018 22:30,10,22,4,9,9,15021,15019,2018,30.264,-97.739,30.26,-97.738,Active
bicycle,60,1,223,09-01-2018 16:45,09-01-2018 16:45,9,16,6,9,9,14391,14391,2018,30.266,-97.749,30.265,-97.749,Active
bicycle,1800,30,3762,10/21/2018 11:30:00,10/21/2018 12:00:00,10,11,7,8,9,12973,14548,2018,30.264,-97.77,30.264,-97.745,Active
bicycle,2801,46.68,0,12/21/2018 11:15:00,12/21/2018 12:00:00,12,11,5,1,1,14866,14866,2018,30.272,-97.74,30.272,-97.74,Active
bicycle,60,1,196,08/25/2018 02:15:00,08/25/2018 02:15:00,8,2,6,9,9,14708,14708,2018,30.269,-97.744,30.27,-97.744,Active
bicycle,1200,20,62,09/22/2018 11:00:00,09/22/2018 11:15:00,9,11,6,3,3,16909,16751,2018,30.26,-97.711,30.259,-97.711,Active
bicycle,3896,64.93,2180,09-11-2018 19:30,09-11-2018 20:30,9,19,2,5,5,13918,13918,2018,30.264,-97.756,30.264,-97.755,Active
bicycle,41,0.68,70,09/25/2018 10:00:00,09/25/2018 10:00:00,9,10,2,9,9,14873,14874,2018,30.289,-97.741,30.289,-97.741,Active
bicycle,9480,158,527,09/15/2018 11:00:00,09/15/2018 01:30:00,9,11,6,9,9,14861,14706,2018,30.26,-97.741,30.264,-97.744,Active
bicycle,180,3,11,10/29/2018 01:00:00,10/29/2018 01:00:00,10,13,1,3,3,15336,15336,2018,30.264,-97.733,30.264,-97.733,Active
bicycle,300,5,1413,10-09-2018 18:00,10-09-2018 18:00,10,18,2,9,9,14858,15486,2018,30.253,-97.741,30.246,-97.731,Active
bicycle,2463,41.05,0,10/13/2018 07:45:00,10/13/2018 08:30:00,10,7,6,9,5,14390,13918,2018,30.262,-97.748,30.264,-97.755,Active
bicycle,1020,17,2165,08/25/2018 08:00:00,08/25/2018 08:30:00,8,20,6,9,9,15021,15021,2018,30.265,-97.738,30.265,-97.738,Active
bicycle,1053,17.55,84,10-05-2018 10:00,10-05-2018 10:30,10,10,5,9,9,13920,13762,2018,30.268,-97.756,30.268,-97.758,Active
bicycle,6,0.1,6,09/22/2018 03:45:00,09/22/2018 03:45:00,9,15,6,9,9,14705,14705,2018,30.263,-97.743,30.263,-97.743,Active
bicycle,3199,53.32,3073,09-02-2018 17:30,09-02-2018 18:30,9,17,7,9,9,14865,14385,2018,30.269,-97.74,30.251,-97.749,Active
bicycle,900,15,6,09/17/2018 10:30:00,09/17/2018 10:45:00,9,22,1,9,3,15021,16906,2018,30.264,-97.74,30.254,-97.709,Active
bicycle,463,7.72,548,09/21/2018 01:15:00,09/21/2018 01:15:00,9,13,5,9,9,13133,13919,2018,30.271,-97.767,30.265,-97.755,Active
bicycle,1462,24.37,130,09/26/2018 09:30:00,09/26/2018 10:00:00,9,21,3,9,9,14231,13917,2018,30.259,-97.749,30.261,-97.755,Active
bicycle,120,2,93,10-07-2018 22:30,10-07-2018 22:30,10,22,7,9,9,14076,14077,2018,30.266,-97.753,30.266,-97.753,Active
bicycle,27000,450,17967,09/29/2018 02:45:00,09/29/2018 10:15:00,9,2,6,9,8,14225,5565,2018,30.245,-97.751,30.25,-97.882,Active
bicycle,480,8,1577,09-11-2018 13:30,09-11-2018 13:45,9,13,2,9,9,14389,14075,2018,30.261,-97.749,30.262,-97.753,Active
