Vehicle Type,duration,Trip Distance,datetime,End Time,month,hour,day ,Start District,End District,checkout_kiosk_id,checkin_kiosk_id,year,lat,lon,lat1,lon1
bicycle,2902,8450,08/26/2018 07:30:00,08/26/2018 08:15:00,8,7,7,9,9,15017,15174,2018,30.256,-97.739,30.253,-97.737
bicycle,1763,5987,11/07/2018 02:00:00,11/07/2018 02:30:00,7,2,3,9,9,15179,15022,2018,30.267,-97.737,30.267,-97.739
bicycle,466,917,11/07/2018 03:45:00,11/07/2018 03:45:00,7,3,3,9,9,15819,15819,2018,30.29,-97.726,30.29,-97.726
bicycle,687,2382,11/07/2018 06:45:00,11/07/2018 07:00:00,7,6,3,9,9,15819,14401,2018,30.291,-97.726,30.29,-97.748
bicycle,623,1770,11/07/2018 07:30:00,11/07/2018 07:45:00,7,7,3,9,9,14702,14707,2018,30.255,-97.744,30.268,-97.743
bicycle,725,4281,11/07/2018 07:45:00,11/07/2018 08:00:00,7,7,3,9,9,16451,14865,2018,30.295,-97.718,30.268,-97.741
bicycle,834,3074,11/07/2018 08:45:00,11/07/2018 09:00:00,7,8,3,9,9,14716,14865,2018,30.29,-97.744,30.268,-97.741
bicycle,452,1191,11/07/2018 08:45:00,11/07/2018 08:45:00,7,8,3,9,9,13920,14550,2018,30.269,-97.756,30.269,-97.746
bicycle,638,2478,11/07/2018 08:45:00,11/07/2018 09:00:00,7,8,3,9,10,14717,14090,2018,30.291,-97.743,30.299,-97.752
bicycle,965,5005,11/07/2018 08:45:00,11/07/2018 09:00:00,7,8,3,3,5,15798,13760,2018,30.241,-97.726,30.263,-97.759
bicycle,597,27,09/16/2018 10:00:00,09/16/2018 10:00:00,9,22,7,9,9,14863,15018,2018,30.264,-97.742,30.259,-97.739
bicycle,644,2704,11/07/2018 08:45:00,11/07/2018 09:00:00,7,8,3,9,9,13768,14865,2018,30.282,-97.758,30.269,-97.741
bicycle,1363,4123,10/13/2018 09:45:00,10/13/2018 10:15:00,10,9,6,9,10,14705,12821,2018,30.263,-97.743,30.277,-97.771
bicycle,1257,1400,11/07/2018 08:45:00,11/07/2018 09:15:00,7,8,3,3,3,16279,16593,2018,30.26,-97.72,30.259,-97.715
bicycle,300,0,09/14/2018 02:15:00,09/14/2018 02:30:00,9,14,5,5,5,13918,13918,2018,30.264,-97.755,30.264,-97.755
bicycle,589,2688,11/07/2018 08:45:00,11/07/2018 09:00:00,7,8,3,3,9,15965,14546,2018,30.263,-97.726,30.259,-97.747
bicycle,391,2060,11/07/2018 09:00:00,11/07/2018 09:00:00,7,9,3,3,9,16121,14865,2018,30.26,-97.723,30.268,-97.741
bicycle,1880,4651,11/07/2018 09:00:00,11/07/2018 09:30:00,7,9,3,9,9,13767,13766,2018,30.28,-97.759,30.277,-97.758
bicycle,618,2044,11/07/2018 09:00:00,11/07/2018 09:15:00,7,9,3,3,9,15807,14707,2018,30.262,-97.726,30.268,-97.743
bicycle,443,1883,11/07/2018 09:00:00,11/07/2018 09:15:00,7,9,3,3,9,15807,14706,2018,30.262,-97.727,30.266,-97.745
bicycle,427,1529,11/07/2018 09:15:00,11/07/2018 09:15:00,7,9,3,9,9,15018,14865,2018,30.258,-97.739,30.268,-97.742
bicycle,844,2832,11/07/2018 09:15:00,11/07/2018 09:30:00,7,9,3,5,9,13445,14865,2018,30.263,-97.762,30.269,-97.741
bicycle,60,237,09/13/2018 09:00:00,09/13/2018 09:00:00,9,9,4,9,9,14075,13917,2018,30.263,-97.754,30.261,-97.755
bicycle,171,837,11/07/2018 10:00:00,11/07/2018 10:00:00,7,10,3,9,9,14716,15188,2018,30.29,-97.744,30.288,-97.737
bicycle,1580,2398,11/07/2018 10:00:00,11/07/2018 10:30:00,7,10,3,10,9,14090,14872,2018,30.299,-97.752,30.286,-97.742
bicycle,322,1400,11/07/2018 10:00:00,11/07/2018 10:15:00,7,10,3,9,9,14544,14706,2018,30.254,-97.747,30.265,-97.744
bicycle,413,1481,11/07/2018 10:15:00,11/07/2018 10:15:00,7,10,3,9,9,14244,15029,2018,30.29,-97.751,30.285,-97.74
bicycle,344,1706,11/07/2018 10:30:00,11/07/2018 10:30:00,7,10,3,9,9,14694,14384,2018,30.238,-97.744,30.249,-97.75
bicycle,979,5053,11/07/2018 10:30:00,11/07/2018 10:45:00,7,10,3,9,3,14381,16279,2018,30.242,-97.75,30.261,-97.721
bicycle,735,3106,11/07/2018 10:45:00,11/07/2018 11:00:00,7,10,3,9,8,14550,12973,2018,30.268,-97.746,30.264,-97.771
bicycle,1051,5021,11/07/2018 10:45:00,11/07/2018 11:15:00,7,10,3,5,3,13760,15798,2018,30.263,-97.759,30.241,-97.726
bicycle,277,660,11/07/2018 10:45:00,11/07/2018 11:00:00,7,10,3,9,9,14549,14706,2018,30.267,-97.747,30.265,-97.744
bicycle,1228,3895,11/07/2018 11:00:00,11/07/2018 11:15:00,7,11,3,9,9,14714,14557,2018,30.284,-97.743,30.285,-97.747
bicycle,700,3267,11/07/2018 11:15:00,11/07/2018 11:30:00,7,11,3,9,3,15022,16434,2018,30.268,-97.74,30.255,-97.719
bicycle,696,3090,11/07/2018 11:15:00,11/07/2018 11:30:00,7,11,3,9,3,14865,16434,2018,30.269,-97.741,30.255,-97.719
bicycle,2243,83,08/31/2018 02:15:00,08/31/2018 02:45:00,8,2,5,9,1,15174,15340,2018,30.254,-97.737,30.275,-97.734
bicycle,1540,8079,11/07/2018 11:30:00,11/07/2018 11:45:00,7,11,3,3,3,16593,16436,2018,30.259,-97.715,30.26,-97.718
bicycle,458,708,11/07/2018 11:30:00,11/07/2018 11:45:00,7,11,3,9,9,15188,14874,2018,30.288,-97.737,30.291,-97.742
bicycle,3070,3267,11/07/2018 11:30:00,11/07/2018 12:30:00,7,11,3,9,9,15188,15187,2018,30.288,-97.737,30.285,-97.736
bicycle,451,1786,11/07/2018 11:45:00,11/07/2018 11:45:00,7,11,3,9,9,14874,15186,2018,30.291,-97.742,30.284,-97.737
bicycle,486,1658,11/07/2018 11:45:00,11/07/2018 11:45:00,7,11,3,1,9,14868,14078,2018,30.277,-97.742,30.271,-97.753
bicycle,1190,5681,11/07/2018 11:45:00,11/07/2018 12:15:00,7,11,3,3,3,16279,13907,2018,30.261,-97.721,30.239,-97.755
bicycle,759,3009,11/07/2018 11:45:00,11/07/2018 12:00:00,7,11,3,3,9,16434,14865,2018,30.255,-97.719,30.269,-97.741
bicycle,677,2961,11/07/2018 11:45:00,11/07/2018 12:00:00,7,11,3,3,9,16434,14865,2018,30.255,-97.719,30.268,-97.741
bicycle,494,1819,11/07/2018 12:00:00,11/07/2018 12:00:00,7,12,3,9,9,14078,14869,2018,30.271,-97.753,30.278,-97.742
bicycle,1645,7757,11/07/2018 12:00:00,11/07/2018 12:30:00,7,12,3,9,7,14393,15834,2018,30.27,-97.749,30.325,-97.728
bicycle,107,257,11/07/2018 12:00:00,11/07/2018 12:00:00,7,12,3,9,9,14872,14871,2018,30.286,-97.742,30.284,-97.742
bicycle,480,1010,09/16/2018 12:30:00,09/16/2018 12:30:00,9,12,7,9,9,14860,15178,2018,30.257,-97.74,30.264,-97.737
bicycle,330,1030,11/07/2018 12:00:00,11/07/2018 12:00:00,7,12,3,3,3,15650,15332,2018,30.263,-97.73,30.255,-97.735
bicycle,571,1400,11/07/2018 12:00:00,11/07/2018 12:15:00,7,12,3,9,9,14871,14243,2018,30.284,-97.742,30.289,-97.751
bicycle,969,2478,11/07/2018 12:15:00,11/07/2018 12:30:00,7,12,3,9,9,14874,15344,2018,30.291,-97.742,30.285,-97.735
bicycle,715,1400,11/07/2018 12:30:00,11/07/2018 12:45:00,7,12,3,9,9,14401,15029,2018,30.289,-97.748,30.285,-97.74
bicycle,282,998,11/07/2018 13:00:00,11/07/2018 13:15:00,7,13,3,9,3,14706,15335,2018,30.265,-97.743,30.263,-97.735
bicycle,1505,5327,11/07/2018 13:15:00,11/07/2018 13:45:00,7,13,3,9,9,14706,14863,2018,30.265,-97.744,30.265,-97.742
bicycle,300,660,11/07/2018 13:15:00,11/07/2018 13:30:00,7,13,3,9,9,14548,14392,2018,30.265,-97.746,30.269,-97.748
bicycle,1006,3235,11/07/2018 13:30:00,11/07/2018 13:45:00,7,13,3,9,9,15029,15019,2018,30.285,-97.74,30.262,-97.739
bicycle,542,1754,11/07/2018 13:30:00,11/07/2018 13:45:00,7,13,3,9,9,15186,14865,2018,30.284,-97.737,30.27,-97.741
bicycle,955,2317,11/07/2018 14:00:00,11/07/2018 14:15:00,7,14,3,9,9,13607,14395,2018,30.273,-97.76,30.276,-97.749
bicycle,3615,0,11/10/2018 22:00:00,11/10/2018 23:00:00,10,22,4,9,9,14080,14080,2018,30.276,-97.752,30.276,-97.752
bicycle,5978,9350,11/07/2018 14:15:00,11/07/2018 15:45:00,7,14,3,9,5,14384,12339,2018,30.249,-97.75,30.254,-97.78
bicycle,311,628,11/07/2018 14:15:00,11/07/2018 14:15:00,7,14,3,9,9,13607,13293,2018,30.273,-97.76,30.276,-97.765
bicycle,5782,8916,11/07/2018 14:15:00,11/07/2018 15:45:00,7,14,3,9,5,14226,12339,2018,30.248,-97.75,30.254,-97.78
bicycle,829,4474,11/07/2018 14:15:00,11/07/2018 14:30:00,7,14,3,3,9,15798,14707,2018,30.241,-97.726,30.269,-97.743
bicycle,2230,2961,11/07/2018 14:30:00,11/07/2018 15:15:00,7,14,3,9,9,14384,14385,2018,30.249,-97.75,30.252,-97.749
bicycle,278,837,11/07/2018 14:45:00,11/07/2018 14:45:00,7,14,3,9,9,15187,14714,2018,30.286,-97.736,30.285,-97.743
bicycle,60,142,05/09/2018 13:45:00,05/09/2018 13:45:00,9,13,3,10,10,12663,12821,2018,30.276,-97.773,30.277,-97.773
bicycle,293,837,11/07/2018 14:45:00,11/07/2018 14:45:00,7,14,3,9,9,15345,14714,2018,30.286,-97.735,30.285,-97.743
bicycle,1452,1175,11/07/2018 14:45:00,11/07/2018 15:15:00,7,14,3,9,9,14715,15344,2018,30.286,-97.743,30.285,-97.735
bicycle,602,2140,11/07/2018 15:00:00,11/07/2018 15:15:00,7,15,3,9,9,14392,14705,2018,30.269,-97.749,30.264,-97.743
bicycle,395,1690,11/07/2018 15:15:00,11/07/2018 15:30:00,7,15,3,9,9,14714,15186,2018,30.285,-97.743,30.284,-97.737
bicycle,1318,590,02/09/2018 16:15:00,02/09/2018 16:30:00,9,16,7,9,9,14080,14391,2018,30.275,-97.753,30.265,-97.747
bicycle,406,1191,11/07/2018 15:15:00,11/07/2018 15:30:00,7,15,3,9,9,14714,14244,2018,30.285,-97.745,30.29,-97.751
bicycle,934,4619,11/07/2018 15:15:00,11/07/2018 15:30:00,7,15,3,3,5,15335,12657,2018,30.263,-97.735,30.262,-97.775
bicycle,602,1722,11/07/2018 15:15:00,11/07/2018 15:30:00,7,15,3,9,9,15029,14244,2018,30.285,-97.74,30.29,-97.75
bicycle,364,1143,11/07/2018 15:15:00,11/07/2018 15:30:00,7,15,3,3,3,15639,15007,2018,30.237,-97.73,30.232,-97.738
bicycle,1231,3203,11/07/2018 15:15:00,11/07/2018 15:45:00,7,15,3,9,5,14865,13445,2018,30.268,-97.741,30.263,-97.762
bicycle,1492,4216,11/07/2018 15:30:00,11/07/2018 16:00:00,7,15,3,9,9,14244,15021,2018,30.29,-97.751,30.265,-97.738
bicycle,151,418,11/07/2018 15:45:00,11/07/2018 15:45:00,7,15,3,5,5,12657,12814,2018,30.262,-97.775,30.261,-97.771
bicycle,845,1690,11/07/2018 15:45:00,11/07/2018 16:00:00,7,15,3,8,5,13447,13602,2018,30.268,-97.764,30.263,-97.76
bicycle,681,3009,11/07/2018 16:00:00,11/07/2018 16:15:00,7,16,3,9,1,16604,15810,2018,30.285,-97.716,30.269,-97.728
bicycle,267,515,11/07/2018 16:30:00,11/07/2018 16:30:00,7,16,3,9,9,15021,14863,2018,30.265,-97.738,30.264,-97.742
bicycle,341,789,11/07/2018 16:45:00,11/07/2018 16:45:00,7,16,3,9,9,14863,15021,2018,30.264,-97.742,30.266,-97.738
bicycle,360,29,01/09/2018 15:45:00,01/09/2018 16:00:00,9,15,6,9,9,15018,15018,2018,30.257,-97.739,30.257,-97.739
bicycle,355,1851,11/07/2018 16:45:00,11/07/2018 16:45:00,7,16,3,3,3,15332,16277,2018,30.255,-97.735,30.255,-97.72
bicycle,302,950,11/07/2018 16:45:00,11/07/2018 16:45:00,7,16,3,9,9,15344,14714,2018,30.285,-97.735,30.285,-97.743
bicycle,983,3508,11/07/2018 16:45:00,11/07/2018 17:00:00,7,16,3,9,5,14707,13599,2018,30.268,-97.743,30.255,-97.762
bicycle,1410,2672,11/07/2018 16:45:00,11/07/2018 17:15:00,7,16,3,9,9,14863,14863,2018,30.265,-97.742,30.265,-97.742
bicycle,272,821,11/07/2018 16:45:00,11/07/2018 17:00:00,7,16,3,9,9,14714,15188,2018,30.285,-97.744,30.287,-97.737
bicycle,3807,3396,11/07/2018 17:00:00,11/07/2018 18:00:00,7,17,3,9,9,14707,15329,2018,30.267,-97.743,30.249,-97.735
bicycle,1482,3766,11/07/2018 17:00:00,11/07/2018 17:15:00,7,17,3,5,8,13602,13447,2018,30.263,-97.76,30.267,-97.762
bicycle,608,2157,11/07/2018 17:15:00,11/07/2018 17:15:00,7,17,3,9,9,14865,13924,2018,30.269,-97.741,30.279,-97.755
bicycle,1058,3502,06/10/2018 18:30:00,06/10/2018 18:45:00,10,18,6,9,5,14863,13445,2018,30.264,-97.741,30.264,-97.763
bicycle,420,1645,09/27/2018 05:30:00,09/27/2018 05:30:00,9,17,4,9,9,14548,14859,2018,30.263,-97.745,30.254,-97.742
bicycle,526,1722,11/07/2018 17:15:00,11/07/2018 17:15:00,7,17,3,9,3,14707,15493,2018,30.268,-97.743,30.265,-97.731
bicycle,501,950,11/07/2018 17:15:00,11/07/2018 17:30:00,7,17,3,9,9,14557,15186,2018,30.286,-97.745,30.284,-97.737
bicycle,433,2012,11/07/2018 17:15:00,11/07/2018 17:30:00,7,17,3,9,9,14243,15187,2018,30.289,-97.751,30.286,-97.737
bicycle,122,435,11/07/2018 17:30:00,11/07/2018 17:30:00,7,17,3,3,3,15493,15807,2018,30.264,-97.731,30.263,-97.727
bicycle,3879,1738,11/07/2018 17:30:00,11/07/2018 18:30:00,7,17,3,9,9,14546,15018,2018,30.259,-97.747,30.258,-97.739
bicycle,241,1191,11/07/2018 17:30:00,11/07/2018 17:30:00,7,17,3,9,9,15021,15018,2018,30.266,-97.739,30.258,-97.739
bicycle,360,400,08/28/2018 09:45:00,08/28/2018 10:00:00,8,9,2,9,9,14075,14075,2018,30.263,-97.753,30.262,-97.752
bicycle,780,738,03/10/2018 18:30:00,03/10/2018 18:45:00,10,18,3,9,9,14547,14545,2018,30.261,-97.747,30.257,-97.746
bicycle,420,240,09/16/2018 12:00:00,09/16/2018 12:15:00,9,0,7,9,9,14546,14546,2018,30.259,-97.747,30.259,-97.746
bicycle,675,2301,11/07/2018 17:30:00,11/07/2018 17:45:00,7,17,3,9,3,14707,15807,2018,30.269,-97.743,30.262,-97.726
bicycle,1018,5504,11/07/2018 17:30:00,11/07/2018 17:45:00,7,17,3,3,9,15807,14401,2018,30.263,-97.727,30.29,-97.749
bicycle,15,3,09/18/2018 12:30:00,09/18/2018 12:30:00,9,12,2,5,5,13758,13758,2018,30.259,-97.758,30.259,-97.758
bicycle,1693,6695,11/07/2018 17:45:00,11/07/2018 18:15:00,7,17,3,9,9,13917,13917,2018,30.263,-97.755,30.263,-97.755
bicycle,3236,5648,08/28/2018 05:45:00,08/28/2018 06:45:00,8,17,2,9,9,14547,15643,2018,30.261,-97.747,30.246,-97.73
bicycle,2386,3347,11/07/2018 17:45:00,11/07/2018 18:30:00,7,17,3,9,9,14389,14389,2018,30.261,-97.75,30.262,-97.749
bicycle,1634,5584,11/07/2018 17:45:00,11/07/2018 18:15:00,7,17,3,9,9,13917,13917,2018,30.263,-97.755,30.263,-97.755
bicycle,463,1883,11/07/2018 17:45:00,11/07/2018 18:00:00,7,17,3,9,3,14865,15807,2018,30.268,-97.741,30.262,-97.726
bicycle,1234,6341,11/07/2018 17:45:00,11/07/2018 18:15:00,7,17,3,3,10,15962,12820,2018,30.257,-97.725,30.275,-97.771
bicycle,379,2414,11/07/2018 18:00:00,11/07/2018 18:15:00,7,18,3,9,3,14864,15807,2018,30.267,-97.742,30.262,-97.726
bicycle,5248,4957,11/07/2018 18:00:00,11/07/2018 19:30:00,7,18,3,1,9,15652,14548,2018,30.269,-97.729,30.265,-97.746
bicycle,1854,4439,09/18/2018 08:30:00,09/18/2018 09:00:00,9,8,2,9,9,13598,14078,2018,30.252,-97.759,30.27,-97.753
bicycle,5244,4088,11/07/2018 18:00:00,11/07/2018 19:30:00,7,18,3,1,9,15652,14706,2018,30.269,-97.729,30.265,-97.745
bicycle,1269,1545,11/07/2018 18:30:00,11/07/2018 18:45:00,7,18,3,8,5,13447,13760,2018,30.267,-97.762,30.263,-97.759
bicycle,752,2655,11/07/2018 18:30:00,11/07/2018 18:45:00,7,18,3,3,9,15493,14232,2018,30.264,-97.732,30.261,-97.751
bicycle,120,0,08/25/2018 09:45:00,08/25/2018 09:45:00,8,21,6,5,5,13600,13600,2018,30.257,-97.759,30.257,-97.759
bicycle,294,1030,11/07/2018 18:30:00,11/07/2018 18:45:00,7,18,3,9,9,15186,14714,2018,30.284,-97.737,30.284,-97.744
bicycle,1915,5093,12/10/2018 18:30:00,12/10/2018 19:00:00,10,18,5,5,9,13603,15019,2018,30.264,-97.76,30.26,-97.738
bicycle,1166,4667,11/07/2018 18:30:00,11/07/2018 19:00:00,7,18,3,5,9,13599,14401,2018,30.255,-97.762,30.29,-97.749
bicycle,720,1462,02/09/2018 17:00:00,02/09/2018 17:15:00,9,17,7,8,5,12973,13445,2018,30.264,-97.771,30.263,-97.763
bicycle,2297,3943,11/07/2018 18:30:00,11/07/2018 19:15:00,7,18,3,9,9,13917,13917,2018,30.263,-97.755,30.263,-97.755
bicycle,718,917,11/07/2018 18:45:00,11/07/2018 19:00:00,7,18,3,9,9,14714,14714,2018,30.284,-97.744,30.285,-97.743
bicycle,646,1593,11/07/2018 19:00:00,11/07/2018 19:00:00,7,19,3,1,1,16282,16442,2018,30.267,-97.72,30.274,-97.719
bicycle,541,1674,11/07/2018 19:00:00,11/07/2018 19:15:00,7,19,3,9,9,14865,14389,2018,30.27,-97.741,30.26,-97.749
bicycle,625,2752,11/07/2018 19:15:00,11/07/2018 19:30:00,7,19,3,3,9,16121,14392,2018,30.26,-97.723,30.269,-97.749
bicycle,5345,6083,11/07/2018 19:15:00,11/07/2018 20:45:00,7,19,3,9,9,15504,15662,2018,30.29,-97.732,30.291,-97.729
bicycle,1320,2209,09/27/2018 02:45:00,09/27/2018 03:15:00,9,14,4,9,9,14389,14075,2018,30.261,-97.749,30.263,-97.754
bicycle,5268,2124,11/07/2018 19:45:00,11/07/2018 21:15:00,7,19,3,9,9,14706,13916,2018,30.265,-97.745,30.26,-97.755
bicycle,480,39,09/18/2018 05:45:00,09/18/2018 05:45:00,9,17,2,8,8,13289,13289,2018,30.266,-97.765,30.266,-97.765
bicycle,5279,2301,11/07/2018 19:45:00,11/07/2018 21:15:00,7,19,3,9,9,14706,13916,2018,30.265,-97.745,30.26,-97.755
bicycle,1867,7564,11/07/2018 19:45:00,11/07/2018 20:15:00,7,19,3,9,3,14714,15800,2018,30.285,-97.743,30.246,-97.727
bicycle,1122,1370,09/26/2018 09:45:00,09/26/2018 10:00:00,9,9,3,9,9,14546,14384,2018,30.259,-97.747,30.249,-97.75
bicycle,550,3154,11/07/2018 19:45:00,11/07/2018 20:00:00,7,19,3,9,9,14864,14558,2018,30.267,-97.741,30.289,-97.746
bicycle,994,5005,11/07/2018 20:00:00,11/07/2018 20:15:00,7,20,3,5,3,13760,15798,2018,30.263,-97.759,30.241,-97.726
bicycle,2186,4925,11/07/2018 20:15:00,11/07/2018 20:45:00,7,20,3,9,9,13917,13917,2018,30.263,-97.755,30.263,-97.755
bicycle,833,2285,11/07/2018 20:15:00,11/07/2018 20:30:00,7,20,3,1,1,16442,16123,2018,30.274,-97.719,30.264,-97.722
bicycle,180,565,08/09/2018 16:15:00,08/09/2018 16:15:00,9,16,6,5,5,13445,13760,2018,30.263,-97.763,30.263,-97.758
bicycle,2961,6598,11/07/2018 20:15:00,11/07/2018 21:00:00,7,20,3,10,3,12820,15962,2018,30.275,-97.772,30.257,-97.725
bicycle,1564,4393,11/07/2018 20:15:00,11/07/2018 20:45:00,7,20,3,9,9,13917,13917,2018,30.263,-97.755,30.263,-97.755
bicycle,811,982,11/07/2018 20:30:00,11/07/2018 20:45:00,7,20,3,9,9,15504,15662,2018,30.291,-97.732,30.291,-97.729
bicycle,966,1963,11/07/2018 20:45:00,11/07/2018 21:00:00,7,20,3,1,9,15967,15178,2018,30.269,-97.725,30.265,-97.737
bicycle,3469,24,01/09/2018 10:30:00,01/09/2018 11:30:00,9,10,6,9,9,14865,14865,2018,30.268,-97.742,30.268,-97.742
bicycle,1031,3959,11/07/2018 20:45:00,11/07/2018 21:15:00,7,20,3,7,9,15834,14720,2018,30.325,-97.728,30.299,-97.743
bicycle,1432,4989,11/07/2018 21:15:00,11/07/2018 21:30:00,7,21,3,9,9,13916,14718,2018,30.26,-97.755,30.294,-97.744
bicycle,87,134,09/21/2018 02:30:00,09/21/2018 02:30:00,9,14,5,9,9,14385,14385,2018,30.251,-97.748,30.251,-97.748
bicycle,539,1432,11/07/2018 21:15:00,11/07/2018 21:15:00,7,21,3,9,9,15187,14243,2018,30.286,-97.737,30.289,-97.751
bicycle,591,773,10/22/2018 04:45:00,10/22/2018 05:00:00,10,16,1,9,9,14548,14389,2018,30.264,-97.745,30.261,-97.747
bicycle,1356,4635,11/07/2018 21:15:00,11/07/2018 21:45:00,7,21,3,9,9,15186,15017,2018,30.284,-97.737,30.256,-97.74
bicycle,1179,3943,11/07/2018 21:15:00,11/07/2018 21:45:00,7,21,3,9,9,15017,14384,2018,30.257,-97.739,30.249,-97.75
bicycle,4818,9559,11/07/2018 21:15:00,11/07/2018 22:45:00,7,21,3,9,1,13917,15810,2018,30.263,-97.755,30.269,-97.728
