stationid,lat,lon
14706,30.264,-97.744
15964,30.261,-97.725
15178,30.264,-97.738
16270,30.239,-97.72
14389,30.261,-97.749
15495,30.268,-97.732
14389,30.261,-97.748
15021,30.266,-97.74
14391,30.266,-97.748
15180,30.269,-97.736
14392,30.267,-97.748
14389,30.261,-97.749
14235,30.269,-97.749
14225,30.244,-97.751
15020,30.263,-97.738
14075,30.263,-97.754
13442,30.256,-97.763
14706,30.265,-97.745
15180,30.27,-97.736
15018,30.259,-97.739
14718,30.295,-97.744
14719,30.296,-97.744
14705,30.263,-97.743
13289,30.266,-97.765
14225,30.246,-97.751
14549,30.267,-97.746
14392,30.269,-97.749
16279,30.261,-97.719
15179,30.267,-97.737
14546,30.26,-97.745
13442,30.256,-97.763
15019,30.26,-97.739
13920,30.268,-97.756
14550,30.269,-97.745
15019,30.26,-97.739
14550,30.269,-97.746
14077,30.268,-97.753
14714,30.284,-97.745
15341,30.277,-97.735
15798,30.241,-97.726
14548,30.265,-97.746
15020,30.263,-97.739
15178,30.264,-97.737
15023,30.269,-97.739
14076,30.265,-97.752
14234,30.266,-97.752
15964,30.261,-97.725
14705,30.264,-97.744
14869,30.279,-97.74
14542,30.251,-97.747
13442,30.256,-97.762
13918,30.264,-97.755
14548,30.265,-97.747
16593,30.259,-97.715
15178,30.264,-97.738
14389,30.26,-97.749
15964,30.262,-97.725
15964,30.261,-97.724
14230,30.257,-97.75
14391,30.265,-97.749
15330,30.252,-97.734
14233,30.265,-97.751
14391,30.265,-97.749
14706,30.266,-97.743
14237,30.273,-97.752
14073,30.259,-97.754
13918,30.264,-97.756
14402,30.291,-97.749
14385,30.251,-97.749
9812,30.238,-97.818
13603,30.264,-97.76
14226,30.247,-97.751
14075,30.264,-97.754
14235,30.269,-97.751
14865,30.268,-97.741
14075,30.263,-97.754
14866,30.272,-97.741
14562,30.298,-97.745
14706,30.265,-97.743
14863,30.265,-97.742
14074,30.259,-97.753
15800,30.245,-97.726
14717,30.292,-97.744
13603,30.265,-97.761
14705,30.264,-97.744
14080,30.276,-97.752
15335,30.262,-97.733
14871,30.283,-97.742
15180,30.269,-97.736
13762,30.268,-97.757
16121,30.26,-97.723
14391,30.266,-97.749
14863,30.265,-97.742
14706,30.265,-97.744
14863,30.263,-97.74
14707,30.267,-97.743
14242,30.286,-97.75
15019,30.261,-97.738
13602,30.261,-97.761
15180,30.269,-97.737
14391,30.266,-97.749
13920,30.268,-97.755
14075,30.263,-97.754
14243,30.289,-97.75
14706,30.265,-97.743
13282,30.251,-97.765
14395,30.276,-97.749
13289,30.266,-97.765
14077,30.267,-97.752
14863,30.265,-97.742
14391,30.265,-97.748
14863,30.265,-97.741
14389,30.261,-97.748
15021,30.265,-97.738
14872,30.285,-97.742
13130,30.263,-97.768
15021,30.265,-97.74
14077,30.269,-97.754
15022,30.267,-97.74
16121,30.26,-97.723
15493,30.265,-97.733
13603,30.265,-97.761
14707,30.267,-97.744
15021,30.266,-97.74
13133,30.271,-97.766
15799,30.244,-97.728
13603,30.264,-97.76
16595,30.263,-97.715
15021,30.265,-97.738
14865,30.27,-97.742
14707,30.269,-97.743
14221,30.235,-97.75
15807,30.262,-97.727
12973,30.264,-97.771
13758,30.258,-97.759
13909,30.242,-97.756
13759,30.261,-97.759
15027,30.28,-97.74
14869,30.279,-97.742
13284,30.254,-97.765
14713,30.282,-97.745
15019,30.26,-97.739
14706,30.266,-97.743
13437,30.244,-97.764
13292,30.274,-97.764
13292,30.274,-97.764
13760,30.263,-97.759
14389,30.261,-97.75
15179,30.267,-97.737
13759,30.261,-97.759
15964,30.262,-97.725
14701,30.254,-97.744
14078,30.271,-97.753
14226,30.248,-97.75
15963,30.257,-97.725
14389,30.262,-97.749
15155,30.21,-97.736
14077,30.268,-97.754
15965,30.263,-97.725
16122,30.262,-97.721
15650,30.263,-97.73
16121,30.26,-97.723
13917,30.261,-97.755
15493,30.265,-97.731
15179,30.267,-97.737
15019,30.26,-97.739
13909,30.242,-97.756
16285,30.275,-97.72
13920,30.27,-97.756
14553,30.277,-97.747
14078,30.269,-97.754
14243,30.289,-97.751
16121,30.26,-97.723
14233,30.264,-97.752
15810,30.268,-97.728
15020,30.262,-97.738
17075,30.281,-97.709
14078,30.27,-97.754
14865,30.268,-97.741
14227,30.25,-97.75
14389,30.26,-97.749
16121,30.26,-97.723
14234,30.266,-97.75
12973,30.264,-97.771
14549,30.267,-97.746
14549,30.267,-97.745
13761,30.265,-97.757
15807,30.262,-97.726
14711,30.278,-97.744
14711,30.278,-97.745
14705,30.262,-97.744
14076,30.265,-97.754
13759,30.261,-97.759
15018,30.258,-97.739
15018,30.258,-97.739
14225,30.246,-97.751
15021,30.264,-97.738
14864,30.266,-97.741
14544,30.256,-97.745
14707,30.268,-97.744
